opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
2944.45000000,2954.98000000,2943.64000000,2945.67000000,7.18715000,21222.00917640,41,4.25644000,12565.32209320,29.661140197789525,65.73083000000001,0
2943.10000000,2943.10000000,2916.22000000,2920.27000000,23.49938000,68863.14898070,106,9.03810000,26486.13761650,31.580918145735176,97.16739000000001,1
2918.82000000,2929.11000000,2898.78000000,2926.01000000,46.68840000,136044.03477810,137,17.71745000,51844.36905200,50.47811145973412,132.39669,0
2927.04000000,2939.78000000,2909.36000000,2923.50000000,50.11362000,146706.93994740,189,27.75348000,81344.51902050,47.1494607087826,70.78159000000001,1
2931.33000000,2955.09000000,2931.33000000,2934.55000000,20.72675000,60969.70983330,63,12.70741000,37360.21146960,61.122299523983905,124.53534,1
2934.69000000,2948.92000000,2925.50000000,2935.32000000,15.07085000,44196.69921900,36,2.70331000,7928.63093120,54.342262412557496,27.954410000000003,1
2938.75000000,2947.21000000,2936.97000000,2943.88000000,17.21712000,50666.69924230,58,11.13063000,32738.22121930,59.05256327060332,16.449710000000003,0
2947.57000000,2947.57000000,2917.96000000,2925.54000000,32.51489000,95347.65243050,100,2.49026000,7289.48102390,63.119302417756586,21.09864000000001,0
2925.66000000,2926.82000000,2877.89000000,2884.86000000,71.16737000,206279.11315890,227,21.08328000,61072.73005750,65.53065382478229,36.147470000000006,1
2877.88000000,2902.21000000,2875.79000000,2899.61000000,80.26670000,232332.84346550,137,43.95333000,127255.00058230,74.53998221492569,101.88529000000001,1
2895.37000000,2919.45000000,2895.37000000,2914.82000000,91.56904000,266546.83593050,207,61.71488000,179604.91243670,67.57549288744686,-4.947949999999995,0
2916.41000000,2922.57000000,2905.37000000,2911.43000000,41.96631000,122177.39413530,88,18.54500000,53974.81403030,59.47885879727358,-75.25255,1
2914.27000000,2922.60000000,2913.51000000,2920.55000000,32.20850000,93951.95525600,40,24.57336000,71683.45687460,61.31650135256985,-16.701080000000005,0
2921.67000000,2931.18000000,2915.50000000,2919.33000000,81.05119000,236911.89259270,204,32.55876000,95100.71142310,61.00478468899505,-53.37373000000001,0
2916.49000000,2916.49000000,2895.14000000,2896.70000000,96.08810000,279340.02414810,164,32.98498000,95851.85711750,58.76549456109282,15.38707000000002,1
2899.63000000,2907.00000000,2898.04000000,2898.34000000,49.70525000,144289.50211310,92,32.75700000,95104.16095680,63.65055471929525,101.71341000000002,1
2901.04000000,2923.65000000,2899.46000000,2912.47000000,69.04839000,201101.37325760,161,53.33909000,155430.70699970,57.04646230962006,-47.94468999999998,1
2918.25000000,2928.35000000,2908.05000000,2917.00000000,64.80130000,189013.42336220,107,25.61509000,74748.39173900,54.1280487804879,-54.80741999999998,0
2918.62000000,2924.00000000,2909.54000000,2915.00000000,36.51698000,106504.63307050,71,13.28017000,38745.31004360,51.95759547042523,-174.79129999999998,1
